name,source,gender,wikidata,type
Geschwister-Scholl-Straße,wikidata,+,Q57820;Q76972,way
"Am Elisabethhof",wikidata,F,Q159862,way
Clara-Zetkin-Straße,wikidata,F,Q75823,way
Gertrud-Piter-Platz,wikidata,F,Q1515653,way
Lilli-Friesicke-Straße,wikidata,F,Q1825194,way
Rosa-Luxemburg-Allee,wikidata,F,Q7231,way
Alfred-Messel-Platz,wikidata,M,Q73131,way
Anton-Saefkow-Allee,wikidata,M,Q74356,way
August-Bebel-Straße,wikidata,M,Q76520,way
August-Sonntag-Straße,wikidata,M,Q764041,way
Beethovenstraße,wikidata,M,Q255,way
Bollmannpassage,wikidata,M,Q1469193,way
Brahmsstraße,wikidata,M,Q7294,way
Bredowstraße,wikidata,M,Q61694872,way
Brucknerstraße,wikidata,M,Q81752,way
Caasmannstraße,wikidata,M,Q1479451,way
Carl-Reichstein-Straße,wikidata,M,Q55848003,way
Damaschkestraße,wikidata,M,Q89439,way
Dreifertstraße,wikidata,M,Q1634958,way
Eichendorffweg,wikidata,M,Q77204,way
Einsteinstraße,wikidata,M,Q937,way
Erich-Baron-Straße,wikidata,M,Q114903,way
Erich-Knauf-Straße,wikidata,M,Q75154,way
Ernst-Paul-Lehmann-Straße,wikidata,M,Q1359713,way
Ferdinand-Lassalle-Straße,wikidata,M,Q75784,way
Fontanestraße,wikidata,M,Q76632,way
Fouquéstraße,wikidata,M,Q77371,way
Franz-Ziegler-Straße,wikidata,M,Q87840,way
Freiherr-von-Thüngen-Straße,wikidata,M,Q74067,way
Friedrich-Engels-Straße,wikidata,M,Q34787,way
Friedrich-Franz-Straße,wikidata,M,Q1459119,way
Friedrich-Grasow-Straße,wikidata,M,Q94823488,way
Fritze-Bollmann-Weg,wikidata,M,Q1469193,way
Gerostraße,wikidata,M,Q63166,way
Gobbinstraße,wikidata,M,Q1459273,way
Goethestraße,wikidata,M,Q5879,way
Gustav-Metz-Straße,wikidata,M,Q21465661,way
Gustav-Nachtigal-Straße,wikidata,M,Q60549,way
GutsMuthsstraße,wikidata,M,Q60825,way
Haydnstraße,wikidata,M,Q7349,way
Heinrich-Heine-Ufer,wikidata,M,Q44403,way
Humboldthain,wikidata,M,Q6694,way
Jacobstraße,wikidata,M,Q100303170,way
Johann-Sebastian-Bach-Straße,wikidata,M,Q1339,way
Johann-Strauß-Straße,wikidata,M,Q83309,way
Karl-Kautsky-Straße,wikidata,M,Q76586,way
Karl-Liebknecht-Straße,wikidata,M,Q75886,way
Karl-Marx-Straße,wikidata,M,Q9061,way
Karl-Sachs-Straße,wikidata,M,Q1732776,way
Kleiststraße,wikidata,M,Q28494,way
Klingenbergsiedlung,wikidata,M,Q1505011,way
Klingenbergstraße,wikidata,M,Q1505011,way
Kreyssigstraße,wikidata,M,Q73775,way
Kurt-Wabbel-Straße,wikidata,M,Q1231254,way
Lortzingstraße,wikidata,M,Q154203,way
Mahlerstraße,wikidata,M,Q7304,way
Max-Herm-Straße,wikidata,M,Q1912676,way
Max-Josef-Metzger-Straße,wikidata,M,Q77874,way
Mendelssohnstraße,wikidata,M,Q46096,way
Mozartplatz,wikidata,M,Q254,way
Mozartstraße,wikidata,M,Q254,way
Nicolaiplatz,wikidata,M,Q44269,relation+way
Nikolaus-von-Halem-Straße,wikidata,M,Q107079,way
Offenbachstraße,wikidata,M,Q41555,way
Otto-Sidow-Platz,wikidata,M,Q2040619,way
Otto-Sidow-Straße,wikidata,M,Q2040619,way
Pater-Grimm-Straße,wikidata,M,Q91200,way
Puschkinstraße,wikidata,M,Q7200,way
Robert-Koch-Straße,wikidata,M,Q37193,way
Rudolf-Weber-Platz,wikidata,M,Q1487081,way
Schenkendorfweg,wikidata,M,Q71616,way
Schillerstraße,wikidata,M,Q22670,way
Schleusenerstraße,wikidata,M,Q1448910,way
Schubertstraße,wikidata,M,Q7312,way
Schumannstraße,wikidata,M,Q7351,way
Sprengelstraße,wikidata,M,Q64331,way
Tschaikowskistraße,wikidata,M,Q7315,way
Tschirchdamm,wikidata,M,Q2040823,way
Walther-Rathenau-Platz,wikidata,M,Q135645,way
Weberstraße,wikidata,M,Q154812,way
Werner-Seelenbinder-Straße,wikidata,M,Q452309,way
Wilhelm-Meinicke-Straße,wikidata,M,Q2574148,way
Wilhelm-Weitling-Straße,wikidata,M,Q215808,way
Willi-Sänger-Straße,wikidata,M,Q99141,way
Willibald-Alexis-Straße,wikidata,M,Q77312,way
Wolrad-Kreusler-Straße,wikidata,M,Q1669990,way
Wredowplatz,wikidata,M,Q764842,way
Wredowstraße,wikidata,M,Q764842,way
"Zur Friedrich-Grasow-Straße",wikidata,M,Q94823488,way
"Zur Klingenbergsiedlung",wikidata,M,Q1505011,way
Spittastraße,csv,+,,way
Koppehlstraße,csv,F,,way
Arthur-Bergmann-Straße,csv,M,,way
Baebenrothufer,csv,M,,way
Brösestraße,csv,M,,way
Carl-Ferdinand-Wiesike-Straße,csv,M,,way
Gebrüder-Silbermann-Straße,csv,M,,way
Gottfried-Krüger-Straße,csv,M,,way
Johann-Carl-Sybel-Straße,csv,M,,way
Kummerléstraße,csv,M,,way
Oskar-Wiederholz-Straße,csv,M,,way
Paul-Kaiser-Reka-Platz,csv,M,,way
Reuscherstraße,csv,M,,way
Tiedestraße,csv,M,,way
Venise-Gosnat-Straße,csv,M,,way
Walther-Ausländer-Straße,csv,M,,way
Zanderstraße,csv,M,,way
