name,source,gender,wikidata,type
"Berner Straße",wikidata,,Q70,way
Koenigsmarckstraße,wikidata,,Q30337902,way
"Prager Straße",wikidata,,Q1085,way
"zur Königsmarckstraße",wikidata,,Q30337902,way
Abtstraße,,,,way
Adlerstraße,,,,way
Ahornstraße,,,,way
Akazienweg,,,,way
"Alt Gollwitz",,,,way
"Altbensdorfer Straße",,,,way
"Alte Krakauer Straße",,,,way
"Alte Kürassierstraße",,,,way
"Alte Plauer Brücke",,,,way
"Alte Potsdamer Straße",,,,way
"Alte Weinberge",,,,way
"Altes Dorf",,,,way
"Altstädtische Fischerstraße",,,,way
"Altstädtische Große Heidestraße",,,,way
"Altstädtische Kleine Heidestraße",,,,way
"Altstädtische Wassertorstraße",,,,way
"Altstädtischer Kietz",,,,way
"Altstädtischer Markt",,,,way
"Am Alten Gutshof",,,,way
"Am Anger",,,,way
"Am Breiten Bruch",,,,way
"Am Büttelhandfaßgraben",,,,way
"Am Chausseehaus",,,,way
"Am Feuerwerkslaboratorium",,,,way
"Am Freiheitsweg",,,,way
"Am Gallberg",,,,way
"Am Gleisdreieck",,,,way
"Am Gördensee",,,,way
"Am Gördenwald",,,,way
"Am Güterbahnhof",,,,way
"Am Hafen",,,,way
"Am Hang",,,,way
"Am Hauptbahnhof",,,,way
"Am Havelgut",,,,way
"Am Heidekrug",,,,way
"Am Huck",,,,way
"Am Industriegelände",,,,way
"Am Kletschenberg",,,,way
"Am Klostergraben",,,,way
"Am Lokwerk",,,,way
"Am Margaretenhof",,,,way
"Am Marienberg",,,,way
"Am Maschinenhaus",,,,way
"Am Mittelfeld",,,,way
"Am Mühlenberg",,,,way
"Am Mühlengraben",,,,way
"Am Neuendorfer Sand",,,,way
"Am Park",,,,way
"Am Patendamm",,,,way
"Am Pfarrberg",,,,way
"Am Piperfenn",,,,way
"Am Rehhagen",,,,way
"Am Rosenhag",,,,way
"Am Salzhof",,,,way
"Am See",,,,way
"Am Seeblick",,,,way
"Am Seegarten",,,,way
"Am Seehof",,,,way
"Am Silokanal",,,,way
"Am Sonneneck",,,,way
"Am Südtor",,,,way
"Am Turnerheim",,,,way
"Am Wasserwerk",,,,way
"Am Weinberg",,,,way
"Am Windmühlenberg",,,,way
"Am Zingel",,,,way
Amselweg,,,,way
"An der Brielower Aue",,,,way
"An der Bundesstraße 1",,,,way
"An der Pulverfabrik",,,,way
"An der Regattastrecke",,,,way
"An der Stadtschleuse",,,,way
Anglersteig,,,,way
"Anhaltiner Ring",,,,way
Askanierstraße,,,,way
Asternweg,,,,way
Auenbogen,,,,way
"Auf dem Zolchberg",,,,way
Augustastraße,,,,way
Ausbau,,,,way
Azaleenweg,,,,way
Bäckerstraße,,,,way
"Badener Straße",,,,way
Bahnhofspassage,,,,way
Bahnhofstraße,,,,way
Bahnhofsvorplatz,,,,relation
Bahntechnikerring,,,,way
Barnimstraße,,,,way
Bassinweg,,,,way
Bauhofstraße,,,,way
Bayernstraße,,,,way
Beetzseeufer,,,,way
Begonienweg,,,,way
Behelfsbrücke,,,,way
"Belziger Chaussee",,,,way
Bergstraße,,,,way
"Berliner Straße",,,,way
Bibliotheksweg,,,,way
"Biesenländer Weg",,,,way
Bindefeldstraße,,,,way
Binnenfeld,,,,way
Binsenkute,,,,way
Birkenbruch,,,,way
Birkenweg,,,,way
"Blosendorfer Straße",,,,way
Blumenstraße,,,,way
"Bohnenländer Weg",,,,way
Bootsschleppe,,,,way
Bornufer,,,,way
"Brandenburger Allee",,,,way
"Brandenburger Straße",,,,way
"Bremer Straße",,,,way
"Brielower Aue",,,,way
"Brielower Grenze",,,,way
"Brielower Landstraße",,,,way
"Brielower Straße",,,,way
"Briester Straße",,,,way
"Briester Weg",,,,way
Brüderstraße,,,,way
Brunnenstraße,,,,way
"Brüsseler Straße",,,,way
Buchenweg,,,,way
Buckaubrücke,,,,way
Büdnerweg,,,,way
Buhnenhaus,,,,way
Burghof,,,,way
Burgweg,,,,way
Büttelstraße,,,,way
"Butzower Weg",,,,way
Carolinenring,,,,way
Charlottenhof,,,,way
"Charlottenhofer Weg",,,,way
Chausseestraße,,,,way
"Chemnitzer Weg",,,,way
Christinenstraße,,,,way
Dahlienweg,,,,way
"Der Temnitz",,,,way
"Der Werder",,,,way
"Deutsches Dorf",,,,way
Domkietz,,,,way
Domlinden,,,,way
Domstrengbrücke,,,,way
Dorfstraße,,,,way
"Dörhöfer Promenade",,,,way
Dornröschenweg,,,,way
Dosseweg,,,,way
Drosselweg,,,,way
Ebereschenweg,,,,way
Eibenweg,,,,way
Eichamtstraße,,,,way
Eichhorstweg,,,,way
Eichspitzbrücke,,,,way
Eichspitzweg,,,,way
Elisabethstraße,,,,way
Emsterstraße,,,,way
Erlenweg,,,,way
Eulenbogen,,,,way
Falkenbergswerder,,,,way
Falkenstraße,,,,way
Fasanenbogen,,,,way
Feldstraße,,,,way
Feldweg,,,,way
Feuerwehrgasse,,,,way
Fichtenweg,,,,way
Finkenweg,,,,way
Flämingstraße,,,,way
Fliederweg,,,,way
Flutstraße,,,,way
"Fohrder Landstraße",,,,way
Försterbrücke,,,,way
Forstweg,,,,way
Frankenstraße,,,,way
Freiheitsweg,,,,way
"Freitaler Weg",,,,way
Friedhofstraße,,,,way
"Friedrichshafener Straße",,,,way
Froschallee,,,,way
Fuchsbruch,,,,way
Gartenstraße,,,,way
Gartenweg,,,,way
"Genthiner Straße",,,,way
Geranienweg,,,,way
Gerberaweg,,,,way
Gertraudenstraße,,,,way
Gladiolenweg,,,,way
Gördenallee,,,,way
Görisgräben,,,,way
Gorrenberg,,,,way
"Göttiner Bahnhofstraße",,,,way
"Göttiner Landstraße",,,,way
"Göttiner Schulstraße",,,,way
"Göttiner Steig",,,,way
"Göttiner Straße",,,,way
Grabengasse,,,,way
Grabenstraße,,,,way
"Grabower Weg",,,,way
Gränertstraße,,,,way
Gränertweg,,,,way
Grenzstraße,,,,way
Grillendamm,,,,way
"Große Freiheit",,,,way
"Große Gartenstraße",,,,way
"Große Mühlenstraße",,,,way
"Große Münzenstraße",,,,way
Großmathenweg,,,,way
"Grüne Aue",,,,way
"Grüner Weg",,,,way
"Grüninger Landstraße",,,,way
Hafenstraße,,,,way
"Hagelberger Straße",,,,way
Handwerkerhof,,,,way
"Hannoversche Straße",,,,way
Harlungerstraße,,,,way
Haselnussweg,,,,way
Hauptstraße,,,,way
Havelbogen,,,,way
Havelstraße,,,,way
Havelufer,,,,way
"Heidelberger Straße",,,,way
Heidestraße,,,,way
Hessenweg,,,,way
Hevellerstraße,,,,way
Hochstraße,,,,way
"Hoher Steg",,,,way
Huckstraße,,,,way
Hufenweg,,,,way
"Im Diek",,,,way
"Im Winkel",,,,way
Immenweg,,,,way
"Industriegebiet Hohenstücken",,,,relation
Jasminweg,,,,way
"Jeseriger Weg",,,,way
"Johannisburger Anger",,,,way
Johanniskirchgasse,,,,way
Johanniskirchplatz,,,,way
Jungfernsteig,,,,way
"Kaiserslauterner Straße",,,,way
"Kaltenhausener Weg",,,,way
Kanalpromenade,,,,way
Kanalstraße,,,,way
Kapellenstraße,,,,way
Kastanienweg,,,,way
"Ketzürer Weg",,,,way
Kiaustraße,,,,way
Kiebitzsteig,,,,way
Kiefernweg,,,,way
Kiehnwerder,,,,way
Kietzstraße,,,,way
Kirchgasse,,,,way
Kirchhofstraße,,,,way
Kirchstraße,,,,way
"Klein Kreutzer Bergstraße",,,,way
"Klein Kreutzer Dorfstraße",,,,way
"Klein Kreutzer Eigenheime",,,,way
"Klein Kreutzer Havelstraße",,,,way
"Kleine Gartenstraße",,,,way
"Kleine Mühlenstraße",,,,way
"Kleine Münzenstraße",,,,way
"Kleins Insel",,,,way
Klinikallee,,,,way
Klosterstraße,,,,way
Kolonistenberg,,,,way
Kommunikation,,,,way
"Kopenhagener Straße",,,,way
Kornblumenweg,,,,way
"Krahner Straße",,,,way
"Krakauer Landstraße",,,,way
"Krakauer Straße",,,,way
"Krakauer Weg",,,,way
Krokusring,,,,way
Kurstraße,,,,way
"Kurze Straße",,,,way
Küsterstraße,,,,way
"Langer Weg",,,,way
Lankenweg,,,,way
Lärchenweg,,,,way
Lehmberg,,,,way
Lewaldstraße,,,,way
Libellenweg,,,,way
Lilienweg,,,,way
Lindenstraße,,,,way
Linienstraße,,,,way
"Luckenberger Straße",,,,way
Luisenhof,,,,way
"Lünower Weg",,,,way
Lupinenweg,,,,way
"Magdeburger Heerstraße",,,,way
"Magdeburger Landstraße",,,,way
"Magdeburger Straße",,,,way
"Mahlenziener Dorfstraße",,,,way
"Mahlenziener Straße",,,,way
Maiglöckchenweg,,,,way
Malvenbogen,,,,way
Margaretenstraße,,,,way
Margueritenweg,,,,way
"Marienberg Nord-Aufgang",,,,way
"Marienberg Süd-Aufgang",,,,way
"Märkische Aue",,,,way
Marktplatz,,,,way
Marktstraße,,,,way
Maulbeerweg,,,,way
Mensaweg,,,,way
Mielitzweg,,,,way
Mittelstraße,,,,way
Mittelweg,,,,way
Molkenmarkt,,,,way
"Mötzower Landstraße",,,,way
"Mötzower Weg",,,,way
Mühlenbogen,,,,way
Mühlendamm,,,,way
Mühlentorstraße,,,,way
Mühlenweg,,,,way
"Münstersche Straße",,,,way
Myrtenweg,,,,way
Narzissenweg,,,,way
Näthewindebrücke,,,,way
"Natura Trail Buhnenwerder",,,,way
Nelkenweg,,,,way
Neu-Plaue,,,,way
Neu-Plauer-Weg,,,,way
"Neue Mühle",,,,way
"Neue Weinberge",,,,way
"Neuendorfer Straße",,,,way
"Neustädtische Fischerstraße",,,,way
"Neustädtische Heidestraße",,,,way
"Neustädtische Wassertorstraße",,,,way
"Neustädtischer Markt",,,,way
Nordring,,,,way
"Nußlocher Weg",,,,way
"Oldenburger Straße",,,,way
Packhofstraße,,,,way
Pählbrücke,,,,way
Pappelweg,,,,way
Parduin,,,,way
"Pariser Straße",,,,way
Parkstraße,,,,way
Patendamm,,,,way
Paterdamm,,,,way
"Paterdammer Weg",,,,way
Paukrierbrücke,,,,way
Paulinerstraße,,,,way
Petersilienstraße,,,,way
"Pfefferländer Weg",,,,way
Pflegerdorf,,,,way
Planebrücke,,,,way
Planeweg,,,,way
Platanenweg,,,,way
"Platz der Einheit",,,,way
"Plauer Damm",,,,way
"Plauer Landstraße",,,,way
"Plauer Straße",,,,way
Plauerhof,,,,way
"Plauerhof Siedlung",,,,way
Postplatz,,,,way
"Potsdamer Landstraße",,,,way
"Potsdamer Straße",,,,way
Prignitzstraße,,,,way
Primelweg,,,,way
Prötzelweg,,,,way
Quenzweg,,,,way
"Querstraße I",,,,way
"Querstraße II",,,,way
Rapunzelweg,,,,way
Rathausstraße,,,,way
"Rathenower Landstraße",,,,way
"Rathenower Straße",,,,way
Ratsweg,,,,way
"Reckahner Straße",,,,way
"Reckahner Weg",,,,way
Regattaring,,,,way
Rhinweg,,,,way
"Riesaer Weg",,,,way
"Rietzer Straße",,,,way
"Rietzer Weg",,,,way
Ritterstraße,,,,way
Robinienweg,,,,way
Rosengasse,,,,way
Rosenweg,,,,way
Rotdornweg,,,,way
Rotkäppchenweg,,,,way
"Rüleckens Weg",,,,way
"Rundweg Goerdensee",,,,way
Ruppinstraße,,,,way
Rüsternweg,,,,way
"Saaringer Dorfstraße",,,,way
Sachsenstraße,,,,way
Salzhofufer,,,,way
Sandberg,,,,way
Sandfurthweg,,,,way
"Sankt Petri",,,,way
Sankt-Annen-Platz,,,,way
